,timestamp,length,highest layer,dest_ip,query_len,src_port
143,1521397329.065553,90,SSH,10.0.2.2,,
144,1521397329.065714,60,TCP,10.0.2.15,,
145,1521397329.209346,90,SSH,10.0.2.15,,
146,1521397329.20951,90,SSH,10.0.2.2,,
147,1521397329.209643,60,TCP,10.0.2.15,,
148,1521397329.433587,90,SSH,10.0.2.15,,
149,1521397329.433768,90,SSH,10.0.2.2,,
150,1521397329.433904,60,TCP,10.0.2.15,,
151,1521397329.561361,90,SSH,10.0.2.15,,
152,1521397329.561533,90,SSH,10.0.2.2,,
153,1521397329.561701,60,TCP,10.0.2.15,,
154,1521397329.65742,90,SSH,10.0.2.15,,
155,1521397329.65758,90,SSH,10.0.2.2,,
156,1521397329.657734,60,TCP,10.0.2.15,,
157,1521397329.721454,90,SSH,10.0.2.15,,
158,1521397329.721627,90,SSH,10.0.2.2,,
159,1521397329.721809,60,TCP,10.0.2.15,,
160,1521397330.024941,90,SSH,10.0.2.15,,
161,1521397330.026521,69,DNS,75.75.75.75,9,51949
162,1521397330.027048,90,SSH,10.0.2.2,,
163,1521397330.027215,60,TCP,10.0.2.15,,
164,1521397330.045303,101,DNS,10.0.2.15,9,53
165,1521397330.045449,98,ICMP,98.139.180.180,,
166,1521397330.045615,114,SSH,10.0.2.2,,
167,1521397330.045784,60,TCP,10.0.2.15,,
168,1521397330.103098,98,ICMP,10.0.2.15,,
169,1521397330.103229,87,DNS,75.75.75.75,27,60816
170,1521397330.12167,146,DNS,10.0.2.15,27,53
171,1521397330.121826,138,SSH,10.0.2.2,,
172,1521397330.121967,60,TCP,10.0.2.15,,
173,1521397330.328977,90,SSH,10.0.2.15,,
174,1521397330.329121,90,SSH,10.0.2.2,,
175,1521397330.329268,60,TCP,10.0.2.15,,
176,1521397330.329949,106,SSH,10.0.2.2,,
177,1521397330.330067,60,TCP,10.0.2.15,,
178,1521397330.665478,90,SSH,10.0.2.15,,
179,1521397330.665682,90,SSH,10.0.2.2,,
180,1521397330.665812,60,TCP,10.0.2.15,,
181,1521397330.762802,90,SSH,10.0.2.15,,
182,1521397330.762974,90,SSH,10.0.2.2,,
183,1521397330.76315,60,TCP,10.0.2.15,,
184,1521397330.857352,90,SSH,10.0.2.15,,
185,1521397330.857521,90,SSH,10.0.2.2,,
186,1521397330.857614,60,TCP,10.0.2.15,,
187,1521397331.023409,90,SSH,10.0.2.15,,
188,1521397331.023609,90,SSH,10.0.2.2,,
189,1521397331.023734,60,TCP,10.0.2.15,,
190,1521397331.08202,90,SSH,10.0.2.15,,
191,1521397331.082236,90,SSH,10.0.2.2,,
192,1521397331.082412,60,TCP,10.0.2.15,,
193,1521397331.145669,90,SSH,10.0.2.15,,
194,1521397331.14634,90,SSH,10.0.2.2,,
195,1521397331.146531,60,TCP,10.0.2.15,,
196,1521397331.273432,90,SSH,10.0.2.15,,
197,1521397331.273606,90,SSH,10.0.2.2,,
198,1521397331.273741,60,TCP,10.0.2.15,,
199,1521397331.376111,90,SSH,10.0.2.15,,
200,1521397331.37632,90,SSH,10.0.2.2,,
201,1521397331.376468,60,TCP,10.0.2.15,,
202,1521397331.465468,90,SSH,10.0.2.15,,
203,1521397331.465639,90,SSH,10.0.2.2,,
204,1521397331.46577,60,TCP,10.0.2.15,,
205,1521397331.513391,90,SSH,10.0.2.15,,
206,1521397331.513557,90,SSH,10.0.2.2,,
207,1521397331.513729,60,TCP,10.0.2.15,,
208,1521397331.613908,90,SSH,10.0.2.15,,
209,1521397331.614726,90,SSH,10.0.2.2,,
210,1521397331.614939,60,TCP,10.0.2.15,,
211,1521397331.714014,92,DNS,75.75.75.75,32,36048
212,1521397331.715078,98,SSH,10.0.2.2,,
213,1521397331.715249,60,TCP,10.0.2.15,,
214,1521397331.719561,90,SSH,10.0.2.2,,
215,1521397331.719725,60,TCP,10.0.2.15,,
216,1521397331.720505,90,DNS,75.75.75.75,30,58999
217,1521397331.721296,92,DNS,75.75.75.75,32,53523
218,1521397331.721603,80,DNS,75.75.75.75,20,57996
219,1521397331.721677,80,DNS,75.75.75.75,20,57996
220,1521397331.72474,74,DNS,75.75.75.75,14,43790
221,1521397331.724823,74,DNS,75.75.75.75,14,43790
222,1521397331.725097,79,DNS,75.75.75.75,19,46118
223,1521397331.725158,79,DNS,75.75.75.75,19,46118
224,1521397331.744245,151,DNS,10.0.2.15,30,53
225,1521397331.744649,79,DNS,75.75.75.75,19,35552
226,1521397331.744728,153,DNS,10.0.2.15,32,53
227,1521397331.744759,79,DNS,75.75.75.75,19,35552
228,1521397331.745166,81,DNS,75.75.75.75,21,54157
229,1521397331.745228,81,DNS,75.75.75.75,21,54157
230,1521397331.748425,251,DNS,10.0.2.15,20,53
231,1521397331.750473,250,DNS,10.0.2.15,19,53
232,1521397331.750487,323,DNS,10.0.2.15,20,53
233,1521397331.752267,346,DNS,10.0.2.15,19,53
234,1521397331.752276,159,DNS,10.0.2.15,14,53
235,1521397331.762836,175,DNS,10.0.2.15,19,53
236,1521397331.762848,247,DNS,10.0.2.15,19,53
237,1521397331.762875,113,DNS,10.0.2.15,21,53
238,1521397331.763112,74,TCP,91.189.91.26,,
239,1521397331.76317,137,DNS,10.0.2.15,21,53
240,1521397331.763377,74,TCP,91.189.91.26,,
241,1521397331.769186,90,DNS,10.0.2.15,14,53
242,1521397331.779167,74,TCP,23.23.109.100,,
243,1521397331.781403,151,DNS,10.0.2.15,32,53
244,1521397331.781784,81,DNS,75.75.75.75,21,42076
245,1521397331.781868,81,DNS,75.75.75.75,21,42076
246,1521397331.789466,74,TCP,52.85.112.16,,
247,1521397331.789592,74,TCP,54.193.126.242,,
248,1521397331.800797,60,TCP,10.0.2.15,,
249,1521397331.800815,54,TCP,52.85.112.16,,
250,1521397331.80197,60,TCP,10.0.2.15,,
251,1521397331.801985,54,TCP,91.189.91.26,,
252,1521397331.802017,60,TCP,10.0.2.15,,
253,1521397331.802026,54,TCP,91.189.91.26,,
254,1521397331.802202,97,DNS,10.0.2.15,21,53
255,1521397331.802502,271,HTTP,91.189.91.26,,
256,1521397331.802738,60,TCP,10.0.2.15,,
257,1521397331.803164,264,HTTP,91.189.91.26,,
258,1521397331.803342,60,TCP,10.0.2.15,,
259,1521397331.804366,109,DNS,10.0.2.15,21,53
260,1521397331.804996,74,TCP,195.135.221.134,,
261,1521397331.81912,60,TCP,10.0.2.15,,
262,1521397331.819149,54,TCP,23.23.109.100,,
263,1521397331.843774,1502,TCP,10.0.2.15,,
264,1521397331.843786,54,TCP,91.189.91.26,,
265,1521397331.844052,1502,TCP,10.0.2.15,,
266,1521397331.844059,54,TCP,91.189.91.26,,
267,1521397331.84437,1502,TCP,10.0.2.15,,
268,1521397331.844379,54,TCP,91.189.91.26,,
269,1521397331.844573,90,SSH,10.0.2.2,,
270,1521397331.844693,60,TCP,10.0.2.15,,
271,1521397331.8447,1502,TCP,10.0.2.15,,
272,1521397331.844705,54,TCP,91.189.91.26,,
273,1521397331.845003,1502,TCP,10.0.2.15,,
274,1521397331.845015,54,TCP,91.189.91.26,,
275,1521397331.845152,146,SSH,10.0.2.2,,
276,1521397331.845276,60,TCP,10.0.2.15,,
277,1521397331.845337,1502,TCP,10.0.2.15,,
278,1521397331.845341,54,TCP,91.189.91.26,,
279,1521397331.845684,1502,TCP,10.0.2.15,,
280,1521397331.845694,54,TCP,91.189.91.26,,
281,1521397331.845752,122,SSH,10.0.2.2,,
282,1521397331.845858,60,TCP,10.0.2.15,,
283,1521397331.846319,1502,TCP,10.0.2.15,,
284,1521397331.846328,54,TCP,91.189.91.26,,
285,1521397331.846358,1502,TCP,10.0.2.15,,
286,1521397331.846362,54,TCP,91.189.91.26,,
287,1521397331.846552,1502,TCP,10.0.2.15,,
288,1521397331.84656,54,TCP,91.189.91.26,,
289,1521397331.846847,265,HTTP,10.0.2.15,,
290,1521397331.846857,54,TCP,91.189.91.26,,
291,1521397331.849114,272,HTTP,91.189.91.26,,
292,1521397331.84932,60,TCP,10.0.2.15,,
293,1521397331.849739,90,SSH,10.0.2.2,,
294,1521397331.849889,60,TCP,10.0.2.15,,
295,1521397331.853454,60,TCP,10.0.2.15,,
296,1521397331.853481,54,TCP,54.193.126.242,,
297,1521397331.885367,1502,TCP,10.0.2.15,,
298,1521397331.885385,54,TCP,91.189.91.26,,
299,1521397331.885664,1502,TCP,10.0.2.15,,
300,1521397331.885674,54,TCP,91.189.91.26,,
301,1521397331.885896,1502,TCP,10.0.2.15,,
302,1521397331.885905,54,TCP,91.189.91.26,,
303,1521397331.88622,1502,TCP,10.0.2.15,,
304,1521397331.886228,54,TCP,91.189.91.26,,
305,1521397331.886549,1502,TCP,10.0.2.15,,
306,1521397331.88656,54,TCP,91.189.91.26,,
307,1521397331.886959,1502,TCP,10.0.2.15,,
308,1521397331.886968,54,TCP,91.189.91.26,,
309,1521397331.887241,1502,TCP,10.0.2.15,,
310,1521397331.88725,54,TCP,91.189.91.26,,
311,1521397331.88754,1502,TCP,10.0.2.15,,
312,1521397331.887547,54,TCP,91.189.91.26,,
313,1521397331.887833,1502,TCP,10.0.2.15,,
314,1521397331.88784,54,TCP,91.189.91.26,,
315,1521397331.888142,1474,TCP,10.0.2.15,,
316,1521397331.888149,54,TCP,91.189.91.26,,
317,1521397331.888742,82,TCP,10.0.2.15,,
318,1521397331.888752,54,TCP,91.189.91.26,,
319,1521397331.888779,1502,TCP,10.0.2.15,,
320,1521397331.888784,54,TCP,91.189.91.26,,
321,1521397331.889067,1502,TCP,10.0.2.15,,
322,1521397331.889074,54,TCP,91.189.91.26,,
323,1521397331.889367,1474,TCP,10.0.2.15,,
324,1521397331.889551,82,TCP,10.0.2.15,,
325,1521397331.889558,54,TCP,91.189.91.26,,
326,1521397331.889643,1502,TCP,10.0.2.15,,
327,1521397331.889649,54,TCP,91.189.91.26,,
328,1521397331.889993,1502,TCP,10.0.2.15,,
329,1521397331.890002,54,TCP,91.189.91.26,,
330,1521397331.890301,1502,TCP,10.0.2.15,,
331,1521397331.890308,54,TCP,91.189.91.26,,
332,1521397331.890743,1502,TCP,10.0.2.15,,
333,1521397331.890752,54,TCP,91.189.91.26,,
334,1521397331.890963,1502,TCP,10.0.2.15,,
335,1521397331.89097,54,TCP,91.189.91.26,,
336,1521397331.892663,1502,TCP,10.0.2.15,,
337,1521397331.892674,54,TCP,91.189.91.26,,
338,1521397331.892966,1502,TCP,10.0.2.15,,
339,1521397331.892975,54,TCP,91.189.91.26,,
340,1521397331.893293,1474,TCP,10.0.2.15,,
341,1521397331.893301,54,TCP,91.189.91.26,,
342,1521397331.89351,82,TCP,10.0.2.15,,
343,1521397331.893518,1502,TCP,10.0.2.15,,
344,1521397331.893548,54,TCP,91.189.91.26,,
345,1521397331.893588,54,TCP,91.189.91.26,,
346,1521397331.893917,1502,TCP,10.0.2.15,,
347,1521397331.893924,54,TCP,91.189.91.26,,
348,1521397331.894289,1502,TCP,10.0.2.15,,
349,1521397331.894297,54,TCP,91.189.91.26,,
350,1521397331.894555,1502,TCP,10.0.2.15,,
351,1521397331.894562,54,TCP,91.189.91.26,,
352,1521397331.896848,1502,TCP,10.0.2.15,,
353,1521397331.896858,54,TCP,91.189.91.26,,
354,1521397331.897323,1502,TCP,10.0.2.15,,
355,1521397331.897333,54,TCP,91.189.91.26,,
356,1521397331.902656,1502,TCP,10.0.2.15,,
357,1521397331.902666,54,TCP,91.189.91.26,,
358,1521397331.902865,1502,TCP,10.0.2.15,,
359,1521397331.9029,54,TCP,91.189.91.26,,
360,1521397331.921073,98,SSH,10.0.2.2,,
361,1521397331.921252,60,TCP,10.0.2.15,,
362,1521397331.921702,106,SSH,10.0.2.2,,
363,1521397331.921931,60,TCP,10.0.2.15,,
364,1521397331.921981,90,SSH,10.0.2.2,,
365,1521397331.922087,60,TCP,10.0.2.15,,
366,1521397331.922367,138,SSH,10.0.2.2,,
367,1521397331.922529,60,TCP,10.0.2.15,,
368,1521397331.925661,1502,TCP,10.0.2.15,,
369,1521397331.925678,54,TCP,91.189.91.26,,
370,1521397331.925931,1502,TCP,10.0.2.15,,
371,1521397331.92594,54,TCP,91.189.91.26,,
372,1521397331.926273,60,TCP,10.0.2.15,,
373,1521397331.926291,54,TCP,195.135.221.134,,
374,1521397331.927054,234,HTTP,195.135.221.134,,
375,1521397331.927198,60,TCP,10.0.2.15,,
376,1521397331.928009,1502,TCP,10.0.2.15,,
377,1521397331.928024,54,TCP,91.189.91.26,,
378,1521397331.928301,1502,TCP,10.0.2.15,,
379,1521397331.928308,54,TCP,91.189.91.26,,
380,1521397331.932161,1502,TCP,10.0.2.15,,
381,1521397331.932175,54,TCP,91.189.91.26,,
382,1521397331.93233,1502,TCP,10.0.2.15,,
383,1521397331.932341,54,TCP,91.189.91.26,,
384,1521397331.933406,1502,TCP,10.0.2.15,,
385,1521397331.933423,54,TCP,91.189.91.26,,
386,1521397331.933765,1502,TCP,10.0.2.15,,
387,1521397331.933777,54,TCP,91.189.91.26,,
388,1521397331.93456,1502,TCP,10.0.2.15,,
389,1521397331.934571,54,TCP,91.189.91.26,,
390,1521397331.93474,1502,TCP,10.0.2.15,,
391,1521397331.934752,54,TCP,91.189.91.26,,
392,1521397331.936148,1502,TCP,10.0.2.15,,
393,1521397331.936162,54,TCP,91.189.91.26,,
394,1521397331.936351,1502,TCP,10.0.2.15,,
395,1521397331.936358,54,TCP,91.189.91.26,,
396,1521397331.936858,1502,TCP,10.0.2.15,,
397,1521397331.936867,54,TCP,91.189.91.26,,
398,1521397331.937209,1502,TCP,10.0.2.15,,
399,1521397331.937218,54,TCP,91.189.91.26,,
400,1521397331.937952,1502,TCP,10.0.2.15,,
401,1521397331.93796,54,TCP,91.189.91.26,,
402,1521397331.938307,1502,TCP,10.0.2.15,,
403,1521397331.938314,54,TCP,91.189.91.26,,
404,1521397331.939398,1502,TCP,10.0.2.15,,
405,1521397331.939405,54,TCP,91.189.91.26,,
406,1521397331.939776,1502,TCP,10.0.2.15,,
407,1521397331.939781,54,TCP,91.189.91.26,,
408,1521397331.940102,1502,TCP,10.0.2.15,,
409,1521397331.94011,54,TCP,91.189.91.26,,
410,1521397331.941191,1502,TCP,10.0.2.15,,
411,1521397331.941205,54,TCP,91.189.91.26,,
412,1521397331.942061,1502,TCP,10.0.2.15,,
413,1521397331.942073,54,TCP,91.189.91.26,,
414,1521397331.942356,1502,TCP,10.0.2.15,,
415,1521397331.942364,54,TCP,91.189.91.26,,
416,1521397331.942801,1502,TCP,10.0.2.15,,
417,1521397331.942811,54,TCP,91.189.91.26,,
418,1521397331.943102,1502,TCP,10.0.2.15,,
419,1521397331.943111,54,TCP,91.189.91.26,,
420,1521397331.943521,114,SSH,10.0.2.2,,
421,1521397331.943686,60,TCP,10.0.2.15,,
422,1521397331.943955,1502,TCP,10.0.2.15,,
423,1521397331.943965,54,TCP,91.189.91.26,,
424,1521397331.944256,1502,TCP,10.0.2.15,,
425,1521397331.944266,54,TCP,91.189.91.26,,
426,1521397331.944875,1502,TCP,10.0.2.15,,
427,1521397331.944883,54,TCP,91.189.91.26,,
428,1521397331.945181,1502,TCP,10.0.2.15,,
429,1521397331.945188,54,TCP,91.189.91.26,,
430,1521397331.946015,1502,TCP,10.0.2.15,,
431,1521397331.946025,54,TCP,91.189.91.26,,
432,1521397331.946359,1502,TCP,10.0.2.15,,
433,1521397331.946365,54,TCP,91.189.91.26,,
434,1521397331.946888,90,SSH,10.0.2.2,,
435,1521397331.947023,60,TCP,10.0.2.15,,
436,1521397331.947991,1502,TCP,10.0.2.15,,
437,1521397331.948003,54,TCP,91.189.91.26,,
438,1521397331.948251,1502,TCP,10.0.2.15,,
439,1521397331.948261,54,TCP,91.189.91.26,,
440,1521397331.948538,1502,TCP,10.0.2.15,,
441,1521397331.948545,54,TCP,91.189.91.26,,
442,1521397331.948865,1502,TCP,10.0.2.15,,
443,1521397331.948874,54,TCP,91.189.91.26,,
444,1521397331.949951,1502,TCP,10.0.2.15,,
445,1521397331.949968,54,TCP,91.189.91.26,,
446,1521397331.950214,1502,TCP,10.0.2.15,,
447,1521397331.950221,54,TCP,91.189.91.26,,
448,1521397331.950919,1502,TCP,10.0.2.15,,
449,1521397331.950926,54,TCP,91.189.91.26,,
450,1521397331.951305,1502,TCP,10.0.2.15,,
451,1521397331.951313,54,TCP,91.189.91.26,,
452,1521397331.951995,1502,TCP,10.0.2.15,,
453,1521397331.952002,54,TCP,91.189.91.26,,
454,1521397331.95228,1502,TCP,10.0.2.15,,
455,1521397331.952286,54,TCP,91.189.91.26,,
456,1521397331.952684,1502,TCP,10.0.2.15,,
457,1521397331.952693,54,TCP,91.189.91.26,,
458,1521397331.953788,1502,TCP,10.0.2.15,,
459,1521397331.953799,54,TCP,91.189.91.26,,
460,1521397331.953967,1502,TCP,10.0.2.15,,
461,1521397331.953977,54,TCP,91.189.91.26,,
462,1521397331.954319,1502,TCP,10.0.2.15,,
463,1521397331.954327,54,TCP,91.189.91.26,,
464,1521397331.954699,1502,TCP,10.0.2.15,,
465,1521397331.954707,54,TCP,91.189.91.26,,
466,1521397331.955947,1502,TCP,10.0.2.15,,
467,1521397331.955959,54,TCP,91.189.91.26,,
468,1521397331.95623,1474,TCP,10.0.2.15,,
469,1521397331.956606,82,TCP,10.0.2.15,,
470,1521397331.95662,54,TCP,91.189.91.26,,
471,1521397331.95666,1502,TCP,10.0.2.15,,
472,1521397331.956666,54,TCP,91.189.91.26,,
473,1521397331.956913,1502,TCP,10.0.2.15,,
474,1521397331.956923,54,TCP,91.189.91.26,,
475,1521397331.958069,1502,TCP,10.0.2.15,,
476,1521397331.958089,54,TCP,91.189.91.26,,
477,1521397331.958278,1502,TCP,10.0.2.15,,
478,1521397331.958287,54,TCP,91.189.91.26,,
479,1521397331.961013,1502,TCP,10.0.2.15,,
480,1521397331.961028,54,TCP,91.189.91.26,,
481,1521397331.961221,1502,TCP,10.0.2.15,,
482,1521397331.961228,54,TCP,91.189.91.26,,
483,1521397331.961624,1502,TCP,10.0.2.15,,
484,1521397331.961633,54,TCP,91.189.91.26,,
485,1521397331.961973,1502,TCP,10.0.2.15,,
486,1521397331.961982,54,TCP,91.189.91.26,,
487,1521397331.962294,1502,TCP,10.0.2.15,,
488,1521397331.962303,54,TCP,91.189.91.26,,
489,1521397331.962607,1502,TCP,10.0.2.15,,
490,1521397331.962617,54,TCP,91.189.91.26,,
491,1521397331.963683,1502,TCP,10.0.2.15,,
492,1521397331.96369,54,TCP,91.189.91.26,,
493,1521397331.963994,1502,TCP,10.0.2.15,,
494,1521397331.964003,54,TCP,91.189.91.26,,
495,1521397331.964291,1502,TCP,10.0.2.15,,
496,1521397331.964299,54,TCP,91.189.91.26,,
497,1521397331.964608,1502,TCP,10.0.2.15,,
498,1521397331.964619,54,TCP,91.189.91.26,,
499,1521397331.965843,1502,TCP,10.0.2.15,,
500,1521397331.965855,54,TCP,91.189.91.26,,
501,1521397331.966074,1502,TCP,10.0.2.15,,
502,1521397331.966082,54,TCP,91.189.91.26,,
503,1521397331.966986,1502,TCP,10.0.2.15,,
504,1521397331.966994,54,TCP,91.189.91.26,,
505,1521397331.967284,1135,HTTP,10.0.2.15,,
506,1521397331.967975,54,TCP,91.189.91.26,,
507,1521397331.972941,1502,TCP,10.0.2.15,,
508,1521397331.97308,54,TCP,91.189.91.26,,
509,1521397331.973187,1502,TCP,10.0.2.15,,
510,1521397331.973254,54,TCP,91.189.91.26,,
511,1521397331.973815,90,SSH,10.0.2.2,,
512,1521397331.973918,60,TCP,10.0.2.15,,
513,1521397331.973992,1502,TCP,10.0.2.15,,
514,1521397331.973999,54,TCP,91.189.91.26,,
515,1521397331.974261,1502,TCP,10.0.2.15,,
516,1521397331.974271,54,TCP,91.189.91.26,,
517,1521397331.974475,90,SSH,10.0.2.2,,
518,1521397331.974612,60,TCP,10.0.2.15,,
519,1521397331.977121,1502,TCP,10.0.2.15,,
520,1521397331.977133,54,TCP,91.189.91.26,,
521,1521397331.977464,1502,TCP,10.0.2.15,,
522,1521397331.977474,54,TCP,91.189.91.26,,
523,1521397331.981057,1502,TCP,10.0.2.15,,
524,1521397331.981075,54,TCP,91.189.91.26,,
525,1521397331.98128,1502,TCP,10.0.2.15,,
