SampleName,strtmp,coll,labtime
HE1Sample_112,cool,nurse,short
HE1Sample_113,cool,nurse,short
HE1Sample_114,cool,nurse,short
HE1Sample_115,cool,nurse,short
HE1Sample_116,cool,nurse,short
HE1Sample_117,cool,nurse,short
HE1Sample_118,cool,nurse,short
HE1Sample_119,cool,nurse,short
HE1Sample_120,cool,nurse,short
HE1Sample_121,cool,nurse,short
HE1Sample_122,cool,nurse,short
HE1Sample_123,cool,nurse,short
HE1Sample_124,cool,nurse,short
HE1Sample_125,cool,nurse,short
HE1Sample_126,cool,nurse,short
HE1Sample_127,cool,nurse,short
HE1Sample_128,cool,nurse,short
HE1Sample_129,cool,nurse,short
HE1Sample_130,cool,nurse,short
HE1Sample_131,cool,nurse,short
HE1Sample_132,cool,nurse,short
HE1Sample_133,cool,nurse,short
HE1Sample_134,cool,nurse,short
HE1Sample_135,cool,nurse,short
HE1Sample_136,cool,nurse,short
HE1Sample_137,cool,nurse,short
HE1Sample_138,cool,nurse,short
HE1Sample_139,cool,nurse,short
HE1Sample_140,cool,nurse,short
HE1Sample_141,cool,nurse,short
HE1Sample_142,cool,nurse,short
HE1Sample_143,cool,nurse,short
HE1Sample_144,cool,nurse,short
HE1Sample_145,cool,nurse,short
HE1Sample_146,cool,nurse,short
HE1Sample_147,cool,nurse,short
HE1Sample_148,cool,nurse,short
HE1Sample_149,cool,nurse,short
HE1Sample_150,cool,nurse,short
HE1Sample_151,cool,nurse,short
HE1Sample_152,cool,nurse,short
HE1Sample_153,cool,nurse,short
HE1Sample_154,cool,nurse,short
HE1Sample_155,cool,nurse,short
HE1Sample_156,cool,nurse,short
HE1Sample_157,cool,nurse,short
HE1Sample_158,cool,nurse,short
HE1Sample_159,cool,nurse,short
HE1Sample_160,cool,nurse,short
HE1Sample_161,cool,nurse,short
HE1Sample_162,cool,nurse,short
HE1Sample_163,cool,nurse,short
HE1Sample_164,cool,nurse,short
HE1Sample_165,cool,nurse,short
HE1Sample_166,cool,nurse,short
HE1Sample_167,cool,nurse,short
HE1Sample_168,cool,nurse,short
HE1Sample_169,cool,nurse,short
HE1Sample_170,cool,nurse,short
HE1Sample_171,cool,nurse,short
HE1Sample_172,cool,nurse,short
HE1Sample_173,cool,nurse,short
HE1Sample_174,cool,nurse,short
HE1Sample_175,cool,nurse,short
HE1Sample_176,cool,nurse,short
HE1Sample_177,cool,nurse,short
HE1Sample_178,cool,nurse,short
HE1Sample_179,cool,nurse,short
HE1Sample_180,cool,nurse,short
HE1Sample_181,cool,nurse,short
HE1Sample_182,cool,nurse,short
HE1Sample_183,cool,nurse,short
HE1Sample_184,cool,nurse,short
HE1Sample_185,cool,nurse,short
HE1Sample_186,cool,nurse,short
HE1Sample_187,cool,nurse,short
HE1Sample_188,cool,nurse,short
HE1Sample_189,cool,nurse,short
HE1Sample_190,cool,nurse,short
HE1Sample_191,cool,nurse,short
HE1Sample_192,cool,nurse,short
HE1Sample_193,cool,nurse,short
HE1Sample_194,cool,nurse,short
HE1Sample_195,cool,nurse,short
HE1Sample_196,cool,nurse,short
HE1Sample_197,cool,nurse,short
HE1Sample_198,cool,nurse,short
HE1Sample_199,cool,nurse,short
HE1Sample_200,cool,nurse,short
HE1Sample_201,cool,nurse,short
HE1Sample_202,cool,nurse,short
HE1Sample_203,cool,nurse,short
HE1Sample_204,cool,nurse,short
HE1Sample_205,cool,nurse,short
HE1Sample_206,cool,nurse,short
HE1Sample_207,cool,nurse,short
HE1Sample_208,cool,nurse,short
HE1Sample_209,cool,nurse,short
HE1Sample_210,cool,nurse,short
HE1Sample_211,cool,nurse,short
HE1Sample_212,cool,nurse,short
HE1Sample_213,cool,nurse,short
HE1Sample_214,cool,nurse,short
HE1Sample_215,cool,nurse,short
HE1Sample_216,cool,nurse,short
HE1Sample_217,cool,nurse,short
HE1Sample_218,cool,nurse,short
HE1Sample_219,cool,nurse,short
HE1Sample_220,cool,nurse,short
HE1Sample_221,cool,nurse,short
HE1Sample_222,cool,nurse,short
HE1Sample_223,cool,nurse,short
HE1Sample_224,cool,nurse,short
HE1Sample_225,cool,nurse,short
HE1Sample_226,cool,nurse,short
HE1Sample_227,cool,nurse,short
HE1Sample_228,cool,nurse,short
HE1Sample_229,cool,nurse,short
HE1Sample_230,cool,nurse,short
HE1Sample_231,cool,nurse,short
HE1Sample_232,cool,nurse,short
HE1Sample_233,cool,nurse,short
HE1Sample_234,cool,nurse,short
HE1Sample_235,cool,nurse,short
HE1Sample_236,cool,nurse,short
HE1Sample_237,cool,nurse,short
HE1Sample_238,cool,nurse,short
HE1Sample_239,cool,nurse,short
HE1Sample_240,cool,nurse,short
HE1Sample_241,cool,nurse,short
HE1Sample_242,cool,nurse,short
HE1Sample_243,cool,nurse,short
HE1Sample_244,cool,nurse,short
HE1Sample_245,cool,nurse,short
HE1Sample_246,cool,nurse,short
HE1Sample_247,cool,nurse,short
HE1Sample_248,cool,nurse,short
HE1Sample_249,cool,nurse,short
HE1Sample_250,cool,nurse,short
HE1Sample_251,cool,nurse,short
HE1Sample_252,cool,nurse,short
HE1Sample_253,cool,nurse,short
HE1Sample_254,cool,nurse,short
HE1Sample_255,cool,nurse,short
HE1Sample_256,cool,nurse,short
HE1Sample_257,cool,nurse,short
HE1Sample_258,cool,nurse,short
HE1Sample_259,cool,nurse,short
HE1Sample_260,cool,nurse,short
HE1Sample_261,cool,nurse,short
HE1Sample_262,cool,nurse,short
HE1Sample_263,cool,nurse,short
HE1Sample_264,cool,nurse,short
HE1Sample_265,cool,nurse,short
HE1Sample_266,cool,nurse,short
HE1Sample_267,cool,nurse,short
HE1Sample_268,cool,nurse,short
HE1Sample_269,cool,nurse,short
HE1Sample_270,cool,nurse,short
HE1Sample_271,cool,nurse,short
HE1Sample_272,cool,nurse,short
HE1Sample_273,cool,nurse,short
HE1Sample_274,cool,nurse,short
HE1Sample_275,cool,nurse,short
HE1Sample_276,cool,nurse,short
HE1Sample_277,cool,nurse,short
HE1Sample_278,cool,nurse,short
HE1Sample_279,cool,nurse,short
HE1Sample_280,cool,nurse,short
HE1Sample_281,cool,nurse,short
HE1Sample_282,cool,nurse,short
HE1Sample_283,cool,nurse,short
HE1Sample_284,cool,nurse,short
HE1Sample_285,cool,nurse,short
HE1Sample_286,cool,nurse,short
HE1Sample_287,cool,nurse,short
HE1Sample_288,cool,patient,short
HE1Sample_289,cool,patient,short
HE1Sample_290,cool,patient,short
HE1Sample_291,cool,patient,short
HE1Sample_292,cool,patient,short
HE1Sample_293,cool,patient,short
HE1Sample_294,cool,patient,short
HE1Sample_295,cool,patient,short
HE1Sample_296,cool,patient,short
HE1Sample_297,cool,patient,short
HE1Sample_298,cool,patient,short
HE1Sample_299,cool,patient,short
HE1Sample_300,cool,patient,short
HE1Sample_301,cool,patient,short
HE1Sample_302,cool,patient,short
HE1Sample_303,cool,patient,short
HE1Sample_304,cool,patient,short
HE1Sample_305,cool,patient,short
HE1Sample_306,cool,patient,short
HE1Sample_307,cool,patient,short
HE1Sample_308,cool,patient,short
HE1Sample_309,cold,patient,short
HE1Sample_310,cold,patient,short
HE1Sample_311,cold,patient,short
HE1Sample_312,cold,patient,short
HE1Sample_313,cold,patient,short
HE1Sample_314,cold,patient,short
HE1Sample_315,cold,patient,short
HE1Sample_316,cold,patient,short
HE1Sample_317,cold,patient,short
HE1Sample_318,cold,patient,short
HE1Sample_319,cold,patient,short
HE1Sample_320,cold,patient,short
HE1Sample_321,cold,patient,short
HE1Sample_322,cold,patient,short
HE1Sample_323,cold,patient,short
HE1Sample_324,cold,patient,short
HE1Sample_325,cold,patient,short
HE1Sample_326,cold,patient,short
HE1Sample_327,cold,patient,short
HE1Sample_328,cold,patient,short
HE1Sample_329,cold,patient,short
HE1Sample_330,cold,patient,short
HE1Sample_331,cold,patient,short
HE1Sample_332,cold,patient,short
HE1Sample_333,cold,patient,short
HE1Sample_334,cold,patient,short
HE1Sample_335,cold,patient,short
HE1Sample_336,cold,patient,short
HE1Sample_337,cold,patient,short
HE1Sample_338,cold,patient,short
HE1Sample_339,cold,patient,short
HE1Sample_340,cold,patient,short
HE1Sample_341,cold,patient,short
HE1Sample_342,cold,patient,short
HE1Sample_343,cold,patient,short
HE1Sample_344,cold,patient,short
HE1Sample_345,cold,patient,short
HE1Sample_346,cold,patient,short
HE1Sample_347,cold,patient,short
HE1Sample_348,cold,patient,short
HE1Sample_349,cold,patient,short
HE1Sample_350,cold,patient,short
HE1Sample_351,cold,patient,short
HE1Sample_352,cold,patient,short
HE1Sample_353,cold,patient,short
HE1Sample_354,cold,patient,short
HE1Sample_355,cold,patient,short
HE1Sample_356,cold,patient,short
HE1Sample_357,cold,patient,short
HE1Sample_358,cold,patient,short
HE1Sample_359,cold,patient,short
HE1Sample_360,cold,patient,short
HE1Sample_361,cold,patient,short
HE1Sample_362,cold,patient,short
HE1Sample_363,cold,patient,short
HE1Sample_364,cold,patient,short
HE1Sample_365,cold,patient,short
HE1Sample_366,cold,patient,short
HE1Sample_367,cold,patient,short
HE1Sample_368,cold,patient,short
HE1Sample_369,cold,patient,short
HE1Sample_370,cold,patient,short
HE1Sample_371,cold,patient,short
HE1Sample_372,cold,patient,short
HE1Sample_373,cold,patient,short
HE1Sample_374,cold,patient,short
HE1Sample_375,cold,patient,short
HE1Sample_376,cold,patient,short
HE1Sample_377,cold,patient,short
HE1Sample_378,cold,patient,short
HE1Sample_379,cold,patient,short
HE1Sample_380,cold,patient,short
HE1Sample_381,cold,patient,short
HE1Sample_382,cold,patient,short
HE1Sample_383,cold,patient,short
HE1Sample_384,cold,patient,short
HE1Sample_385,cold,patient,short
HE1Sample_386,cold,patient,short
HE1Sample_387,cold,patient,short
HE1Sample_388,cold,patient,short
HE1Sample_389,cold,patient,short
HE1Sample_390,cold,patient,short
HE1Sample_391,cold,patient,short
HE1Sample_392,cold,patient,short
HE1Sample_393,cold,patient,short
HE1Sample_394,cold,patient,short
HE1Sample_395,cold,patient,short
HE1Sample_396,cold,patient,short
HE1Sample_397,cold,patient,short
HE1Sample_398,cold,patient,short
HE1Sample_399,cold,patient,short
HE1Sample_400,cold,patient,short
HE1Sample_401,cold,patient,short
HE1Sample_402,cold,patient,short
HE1Sample_403,cold,patient,short
HE1Sample_404,cold,patient,short
HE1Sample_405,cold,patient,short
HE1Sample_406,cold,patient,short
HE1Sample_407,cold,patient,short
HE1Sample_408,cold,patient,short
HE1Sample_409,cold,patient,short
HE1Sample_410,cold,patient,short
HE1Sample_411,cold,patient,short
HE1Sample_412,cold,patient,short
HE1Sample_413,cold,patient,short
HE1Sample_414,cold,patient,short
HE1Sample_415,cold,patient,short
HE1Sample_416,cold,patient,short
HE1Sample_417,cold,patient,short
HE1Sample_418,cold,patient,short
HE1Sample_419,cold,patient,short
HE1Sample_420,cold,patient,short
HE1Sample_421,cold,patient,short
HE1Sample_422,cold,patient,short
HE1Sample_423,cold,patient,short
HE1Sample_424,cold,patient,short
HE1Sample_425,cold,patient,short
HE1Sample_426,cold,patient,short
HE1Sample_427,cold,patient,short
HE1Sample_428,cold,patient,short
HE1Sample_429,cold,patient,short
HE1Sample_430,cold,patient,short
HE1Sample_431,cold,patient,short
HE1Sample_432,cold,patient,short
HE1Sample_433,cold,patient,short
HE1Sample_434,cold,patient,short
HE1Sample_435,cold,patient,short
HE1Sample_436,cold,patient,short
HE1Sample_437,cold,patient,short
HE1Sample_438,cold,patient,short
HE1Sample_439,cold,patient,short
HE1Sample_440,cold,patient,short
HE1Sample_441,cold,patient,short
HE1Sample_442,cold,patient,short
HE1Sample_443,cold,patient,short
HE1Sample_444,cold,patient,short
HE1Sample_445,cold,patient,short
HE1Sample_446,cold,patient,short
HE1Sample_447,cold,patient,short
HE1Sample_448,cold,patient,short
HE1Sample_449,cold,patient,short
HE1Sample_450,cold,patient,short
HE1Sample_451,cold,patient,short
HE1Sample_452,cold,patient,short
HE1Sample_453,cold,patient,short
HE1Sample_454,cold,patient,short
HE1Sample_455,cold,patient,short
HE1Sample_456,cold,patient,short
HE1Sample_457,cold,patient,short
HE1Sample_458,cold,patient,short
HE1Sample_459,cold,patient,short
HE1Sample_460,cold,patient,short
HE1Sample_461,cold,patient,short
HE1Sample_462,cold,patient,short
HE1Sample_463,cold,patient,short
HE1Sample_464,cold,patient,short
HE1Sample_465,cold,patient,short
HE1Sample_466,cold,patient,short
HE1Sample_467,cold,patient,short
HE1Sample_468,cold,patient,short
HE1Sample_469,cold,patient,short
HE1Sample_470,cold,patient,short
HE1Sample_471,cold,patient,short
HE1Sample_472,cold,patient,short
HE1Sample_473,cold,patient,short
HE1Sample_474,cold,patient,short
HE1Sample_475,cold,patient,short
HE1Sample_476,cold,patient,short
HE1Sample_477,cold,patient,short
HE1Sample_478,cold,patient,short
HE1Sample_479,cold,patient,short
HE1Sample_480,cold,patient,short
HE1Sample_481,cold,patient,short
HE1Sample_482,cold,patient,short
HE1Sample_483,cold,patient,short
HE1Sample_484,cold,patient,short
HE1Sample_485,cold,patient,short
HE1Sample_486,cold,patient,short
HE1Sample_487,cold,patient,short
HE1Sample_488,cold,patient,short
HE1Sample_489,cold,patient,short
HE1Sample_490,cold,patient,short
HE1Sample_491,cold,patient,short
HE1Sample_492,cold,patient,short
HE1Sample_493,cold,patient,short
HE1Sample_494,cold,patient,short
HE1Sample_495,cold,patient,short
HE1Sample_496,cold,patient,short
HE1Sample_497,cold,patient,short
HE1Sample_498,cold,patient,short
HE1Sample_499,cold,patient,short
HE1Sample_500,cold,patient,short
HE1Sample_501,cold,patient,short
HE1Sample_502,cold,patient,short
HE1Sample_503,cold,patient,short
HE1Sample_504,cold,patient,short
HE1Sample_505,cold,patient,short
HE1Sample_506,cold,patient,short
HE1Sample_507,cold,patient,short
HE1Sample_508,cold,patient,short
HE1Sample_509,cold,patient,short
HE1Sample_510,cold,patient,short
HE1Sample_511,cold,patient,short
HE1Sample_512,cold,patient,short
HE1Sample_513,cold,patient,short
HE1Sample_514,cold,patient,short
HE1Sample_515,cold,patient,short
HE1Sample_516,cold,patient,short
HE1Sample_517,cold,patient,short
HE1Sample_518,cold,patient,short
HE1Sample_519,cold,patient,short
HE1Sample_520,cold,patient,short
HE1Sample_521,cold,patient,short
HE1Sample_522,cold,patient,short
HE1Sample_523,cold,patient,short
HE1Sample_524,cold,patient,short
HE1Sample_525,cold,patient,short
HE1Sample_526,cold,patient,short
HE1Sample_527,cold,patient,short
HE1Sample_528,cold,patient,short
HE1Sample_529,cold,patient,short
HE1Sample_530,cold,patient,short
HE1Sample_531,cold,patient,short
HE1Sample_532,cold,patient,short
HE1Sample_533,cold,patient,short
HE1Sample_534,cold,patient,short
HE1Sample_535,cold,patient,short
HE1Sample_536,cold,patient,short
HE1Sample_537,cold,patient,short
HE1Sample_538,cold,patient,short
HE1Sample_539,cold,patient,short
HE1Sample_540,cold,patient,short
HE1Sample_541,cold,patient,short
HE1Sample_542,cold,patient,short
HE1Sample_543,cold,patient,short
HE1Sample_544,cold,patient,short
HE1Sample_545,cold,patient,short
HE1Sample_546,cold,patient,short
HE1Sample_547,cold,patient,short
HE1Sample_548,cold,patient,short
HE1Sample_549,cold,patient,short
HE1Sample_550,cold,patient,short
HE1Sample_551,cold,patient,short
HE1Sample_552,cold,patient,short
HE1Sample_553,cold,patient,short
HE1Sample_554,cold,patient,short
HE1Sample_555,cold,patient,short
HE1Sample_556,cold,patient,short
HE1Sample_557,cold,patient,short
HE1Sample_558,cold,patient,short
HE1Sample_559,cold,patient,short
HE1Sample_560,cold,patient,short
HE1Sample_561,cold,patient,short
HE1Sample_562,cold,patient,short
HE1Sample_563,cold,patient,short
HE1Sample_564,cold,patient,short
HE1Sample_565,cold,patient,short
HE1Sample_566,cold,patient,short
HE1Sample_567,cold,patient,short
HE1Sample_568,cold,patient,short
HE1Sample_569,cold,patient,short
HE1Sample_570,cold,patient,short
HE1Sample_571,cold,patient,short
HE1Sample_572,cold,patient,short
HE1Sample_573,cold,patient,short
HE1Sample_574,cold,patient,short
HE1Sample_575,cold,patient,short
HE1Sample_576,cold,patient,short
HE1Sample_577,cold,patient,short
HE1Sample_578,cold,patient,short
HE1Sample_579,cold,patient,short
HE1Sample_580,cold,patient,short
HE1Sample_581,cold,patient,short
HE1Sample_582,cold,patient,short
HE1Sample_583,cold,patient,short
HE1Sample_584,cold,patient,short
HE1Sample_585,cold,patient,short
HE1Sample_586,cold,patient,short
HE1Sample_587,cold,patient,short
HE1Sample_588,cold,patient,short
HE1Sample_589,cold,patient,short
HE1Sample_590,cold,patient,short
HE1Sample_591,cold,patient,short
HE1Sample_592,cold,patient,short
HE1Sample_593,cold,patient,short
HE1Sample_594,cold,patient,short
HE1Sample_595,cold,patient,short
HE1Sample_596,cold,patient,short
HE1Sample_597,cold,patient,short
HE1Sample_598,cold,patient,short
HE1Sample_599,cold,patient,short
HE1Sample_600,cold,patient,short
HE1Sample_601,cold,patient,short
HE1Sample_602,cold,patient,short
HE1Sample_603,cold,patient,short
HE1Sample_604,cold,patient,short
HE1Sample_605,cold,patient,short
HE1Sample_606,cold,patient,short
HE1Sample_607,cold,patient,short
HE1Sample_608,cold,patient,short
HE1Sample_609,cold,patient,short
HE1Sample_610,cold,patient,short
HE1Sample_611,cold,patient,short
HE1Sample_612,cold,patient,short
HE1Sample_613,cold,patient,short
HE1Sample_614,cold,patient,short
HE1Sample_615,cold,patient,short
HE1Sample_616,cold,nurse,long
HE1Sample_617,cold,nurse,long
HE1Sample_618,cold,nurse,long
HE1Sample_619,cold,nurse,long
HE1Sample_620,cold,nurse,long
HE1Sample_621,cold,nurse,long
HE1Sample_622,cold,nurse,long
HE1Sample_623,cold,nurse,long
HE1Sample_624,cold,nurse,long
HE1Sample_625,cold,nurse,long
HE1Sample_626,cold,nurse,long
HE1Sample_627,cold,nurse,long
HE1Sample_628,cold,nurse,long
HE1Sample_629,cold,nurse,long
HE1Sample_630,cold,nurse,long
HE1Sample_631,cold,nurse,long
HE1Sample_632,cold,nurse,long
HE1Sample_633,cold,nurse,long
HE1Sample_634,cold,nurse,long
HE1Sample_635,cold,nurse,long
HE1Sample_636,cold,nurse,long
HE1Sample_637,cold,nurse,long
HE1Sample_638,cold,nurse,long
HE1Sample_639,cold,nurse,long
HE1Sample_640,cold,nurse,long
HE1Sample_641,cold,nurse,long
HE1Sample_642,cold,nurse,long
HE1Sample_643,cold,nurse,long
HE1Sample_644,cold,nurse,long
HE1Sample_645,cold,nurse,long
HE1Sample_646,cold,nurse,long
HE1Sample_647,cold,nurse,long
HE1Sample_648,cold,nurse,long
HE1Sample_649,cold,nurse,long
HE1Sample_650,cold,nurse,long
HE1Sample_651,cold,nurse,long
HE1Sample_652,cold,nurse,long
HE1Sample_653,cold,nurse,long
HE1Sample_654,cold,nurse,long
HE1Sample_655,cold,nurse,long
HE1Sample_656,cold,nurse,long
HE1Sample_657,cold,nurse,long
HE1Sample_658,cold,nurse,long
HE1Sample_659,cold,nurse,long
HE1Sample_660,cold,nurse,long
HE1Sample_661,cold,nurse,long
HE1Sample_662,cold,nurse,long
HE1Sample_663,cold,nurse,long
HE1Sample_664,cold,nurse,long
HE1Sample_665,cold,nurse,long
HE1Sample_666,cold,nurse,long
HE1Sample_667,cold,nurse,long
HE1Sample_668,cold,nurse,long
HE1Sample_669,cold,nurse,long
HE1Sample_670,cold,nurse,long
HE1Sample_671,cold,nurse,long
HE1Sample_672,cold,nurse,long
HE1Sample_673,cold,nurse,long
HE1Sample_674,cold,nurse,long
HE1Sample_675,cold,nurse,long
HE1Sample_676,cold,nurse,long
HE1Sample_677,cold,nurse,long
HE1Sample_678,cold,nurse,long
HE1Sample_679,cold,nurse,long
HE1Sample_680,cold,nurse,long
HE1Sample_681,cold,nurse,long
HE1Sample_682,cold,nurse,long
HE1Sample_683,cold,nurse,long
HE1Sample_684,cold,nurse,long
HE1Sample_685,cold,nurse,long
HE1Sample_686,cold,nurse,long
HE1Sample_687,cold,nurse,long
HE1Sample_688,cold,nurse,long
HE1Sample_689,cold,nurse,long
HE1Sample_690,cold,nurse,long
HE1Sample_691,cold,nurse,long
HE1Sample_692,cold,nurse,long
HE1Sample_693,cold,nurse,long
HE1Sample_694,cold,nurse,long
HE1Sample_695,cold,nurse,long
HE1Sample_696,cold,nurse,long
HE1Sample_697,cold,nurse,long
HE1Sample_698,cold,nurse,long
HE1Sample_699,cool,patient,long
HE1Sample_700,cool,patient,long
HE1Sample_701,cool,patient,long
HE1Sample_702,cool,patient,long
HE1Sample_703,cool,patient,long
HE1Sample_704,cool,patient,long
HE1Sample_705,cool,patient,long
HE1Sample_706,cool,patient,long
HE1Sample_707,cool,patient,long
HE1Sample_708,cool,patient,long
HE1Sample_709,cool,patient,long
HE1Sample_710,cool,patient,long
HE1Sample_711,cool,patient,long
HE1Sample_712,cool,patient,long
HE1Sample_713,cool,patient,long
HE1Sample_714,cool,patient,long
HE1Sample_715,cool,patient,long
HE1Sample_716,cool,patient,long
HE1Sample_717,cool,patient,long
HE1Sample_718,cool,patient,long
HE1Sample_719,cool,patient,long
HE1Sample_720,cool,patient,long
HE1Sample_721,cool,patient,long
HE1Sample_722,cool,patient,long
HE1Sample_723,cool,patient,long
HE1Sample_724,cool,patient,long
HE1Sample_725,cool,patient,long
HE1Sample_726,cool,patient,long
HE1Sample_727,cool,patient,long
HE1Sample_728,cool,patient,long
HE1Sample_729,cool,patient,long
HE1Sample_730,cool,patient,long
HE1Sample_731,cool,patient,long
HE1Sample_732,cool,patient,long
HE1Sample_733,cool,patient,long
HE1Sample_734,cool,patient,long
HE1Sample_735,cool,patient,long
HE1Sample_736,cool,patient,long
HE1Sample_737,cool,patient,long
HE1Sample_738,cool,patient,long
HE1Sample_739,cool,patient,long
HE1Sample_740,cool,patient,long
HE1Sample_741,cool,patient,long
HE1Sample_742,cool,patient,long
HE1Sample_743,cool,patient,long
HE1Sample_744,cool,patient,long
HE1Sample_745,cool,patient,long
HE1Sample_746,cool,patient,long
HE1Sample_747,cool,patient,long
HE1Sample_748,cool,patient,long
HE1Sample_749,cool,patient,long
HE1Sample_750,cool,patient,long
HE1Sample_751,cool,patient,long
HE1Sample_752,cool,patient,long
HE1Sample_753,cool,patient,long
HE1Sample_754,cool,patient,long
HE1Sample_755,cool,patient,long
HE1Sample_756,cool,patient,long
HE1Sample_757,cool,patient,long
HE1Sample_758,cool,patient,long
HE1Sample_759,cool,patient,long
HE1Sample_760,cool,patient,long
HE1Sample_761,cool,patient,long
HE1Sample_762,cool,patient,long
HE1Sample_763,cool,patient,long
